system,parameter,parameter_value,algorithm,seed,speedup,communication_overhead,load_balance,mq,algorithm_runtime_s,measurement_type
demo_eight_class,number_of_modules,4.0,DTMC-GA,2,2.6470585139983953,0.08238746220548468,0.8787275713042952,9.8142,0.0385119639995537,phase3B_sensitivity_model_sweep
demo_eight_class,number_of_modules,5.0,DTMC-GA,2,2.579185218767667,0.08238746220548468,0.8787275713042952,9.8142,0.0385119639995537,phase3B_sensitivity_model_sweep
demo_eight_class,communication_latency,0.5,DTMC-GA,3,2.7692304454137058,0.07241887247243672,0.8872343097986126,7.1444,0.032790449399908536,phase3B_sensitivity_model_sweep
demo_eight_class,communication_latency,1.0,DTMC-GA,3,2.7149318092291232,0.07241887247243672,0.8872343097986126,7.1444,0.032790449399908536,phase3B_sensitivity_model_sweep
demo_eight_class,communication_latency,2.0,DTMC-GA,3,2.606334536859958,0.07241887247243672,0.8872343097986126,7.1444,0.032790449399908536,phase3B_sensitivity_model_sweep
demo_eight_class,communication_latency,4.0,DTMC-GA,3,2.3891399921216285,0.07241887247243672,0.8872343097986126,7.1444,0.032790449399908536,phase3B_sensitivity_model_sweep
demo_eight_class,mutation_rate,0.04,DTMC-GA,3,2.6910404093079068,0.07241887247243672,0.8872343097986126,7.1444,0.032790449399908536,phase3B_sensitivity_model_sweep
demo_eight_class,mutation_rate,0.08,DTMC-GA,3,2.7149318092291232,0.07241887247243672,0.8872343097986126,7.1444,0.032790449399908536,phase3B_sensitivity_model_sweep
demo_eight_class,mutation_rate,0.16,DTMC-GA,3,2.6671490093866908,0.07241887247243672,0.8872343097986126,7.1444,0.032790449399908536,phase3B_sensitivity_model_sweep
demo_eight_class,mutation_rate,0.24,DTMC-GA,3,2.6193662095442583,0.07241887247243672,0.8872343097986126,7.1444,0.032790449399908536,phase3B_sensitivity_model_sweep
demo_eight_class,number_of_modules,2.0,DTMC-GA,3,2.6470585139983953,0.07241887247243672,0.8872343097986126,7.1444,0.032790449399908536,phase3B_sensitivity_model_sweep
demo_eight_class,number_of_modules,3.0,DTMC-GA,3,2.7149318092291232,0.07241887247243672,0.8872343097986126,7.1444,0.032790449399908536,phase3B_sensitivity_model_sweep
demo_eight_class,number_of_modules,4.0,DTMC-GA,3,2.6470585139983953,0.07241887247243672,0.8872343097986126,7.1444,0.032790449399908536,phase3B_sensitivity_model_sweep
demo_eight_class,number_of_modules,5.0,DTMC-GA,3,2.579185218767667,0.07241887247243672,0.8872343097986126,7.1444,0.032790449399908536,phase3B_sensitivity_model_sweep
demo_eight_class,communication_latency,0.5,DTMC-GA,4,2.7714667050462976,0.07994418040816902,0.7996092278062328,7.687600000000001,0.03367358540053829,phase3B_sensitivity_model_sweep
demo_eight_class,communication_latency,1.0,DTMC-GA,4,2.717124220633625,0.07994418040816902,0.7996092278062328,7.687600000000001,0.03367358540053829,phase3B_sensitivity_model_sweep
demo_eight_class,communication_latency,2.0,DTMC-GA,4,2.6084392518082797,0.07994418040816902,0.7996092278062328,7.687600000000001,0.03367358540053829,phase3B_sensitivity_model_sweep
demo_eight_class,communication_latency,4.0,DTMC-GA,4,2.39106931415759,0.07994418040816902,0.7996092278062328,7.687600000000001,0.03367358540053829,phase3B_sensitivity_model_sweep
demo_eight_class,mutation_rate,0.04,DTMC-GA,4,2.693213527492049,0.07994418040816902,0.7996092278062328,7.687600000000001,0.03367358540053829,phase3B_sensitivity_model_sweep
demo_eight_class,mutation_rate,0.08,DTMC-GA,4,2.717124220633625,0.07994418040816902,0.7996092278062328,7.687600000000001,0.03367358540053829,phase3B_sensitivity_model_sweep
demo_eight_class,mutation_rate,0.16,DTMC-GA,4,2.669302834350473,0.07994418040816902,0.7996092278062328,7.687600000000001,0.03367358540053829,phase3B_sensitivity_model_sweep
demo_eight_class,mutation_rate,0.24,DTMC-GA,4,2.621481448067321,0.07994418040816902,0.7996092278062328,7.687600000000001,0.03367358540053829,phase3B_sensitivity_model_sweep
demo_eight_class,number_of_modules,2.0,DTMC-GA,4,2.649196115117784,0.07994418040816902,0.7996092278062328,7.687600000000001,0.03367358540053829,phase3B_sensitivity_model_sweep
demo_eight_class,number_of_modules,3.0,DTMC-GA,4,2.717124220633625,0.07994418040816902,0.7996092278062328,7.687600000000001,0.03367358540053829,phase3B_sensitivity_model_sweep
demo_eight_class,number_of_modules,4.0,DTMC-GA,4,2.649196115117784,0.07994418040816902,0.7996092278062328,7.687600000000001,0.03367358540053829,phase3B_sensitivity_model_sweep
demo_eight_class,number_of_modules,5.0,DTMC-GA,4,2.5812680096019434,0.07994418040816902,0.7996092278062328,7.687600000000001,0.03367358540053829,phase3B_sensitivity_model_sweep
demo_eight_class,communication_latency,0.5,DTMC-GA,5,2.7692304454137058,0.07310299137568511,0.9330383933680375,9.8994,0.03395990719982365,phase3B_sensitivity_model_sweep
demo_eight_class,communication_latency,1.0,DTMC-GA,5,2.7149318092291232,0.07310299137568511,0.9330383933680375,9.8994,0.03395990719982365,phase3B_sensitivity_model_sweep
demo_eight_class,communication_latency,2.0,DTMC-GA,5,2.606334536859958,0.07310299137568511,0.9330383933680375,9.8994,0.03395990719982365,phase3B_sensitivity_model_sweep
demo_eight_class,communication_latency,4.0,DTMC-GA,5,2.3891399921216285,0.07310299137568511,0.9330383933680375,9.8994,0.03395990719982365,phase3B_sensitivity_model_sweep
demo_eight_class,mutation_rate,0.04,DTMC-GA,5,2.6910404093079068,0.07310299137568511,0.9330383933680375,9.8994,0.03395990719982365,phase3B_sensitivity_model_sweep
demo_eight_class,mutation_rate,0.08,DTMC-GA,5,2.7149318092291232,0.07310299137568511,0.9330383933680375,9.8994,0.03395990719982365,phase3B_sensitivity_model_sweep
demo_eight_class,mutation_rate,0.16,DTMC-GA,5,2.6671490093866908,0.07310299137568511,0.9330383933680375,9.8994,0.03395990719982365,phase3B_sensitivity_model_sweep
demo_eight_class,mutation_rate,0.24,DTMC-GA,5,2.6193662095442583,0.07310299137568511,0.9330383933680375,9.8994,0.03395990719982365,phase3B_sensitivity_model_sweep
