system,algorithm,seed,generation,best_fitness,median_fitness,diversity,elapsed_s
cyclic_workflow_20,Bunch,30,6,0.4184670174377053,0.33872884836396766,0.12727272727272732,0.08666419100154599
cyclic_workflow_20,Bunch,30,7,0.4653385192070804,0.39531174633424193,0.14696969696969697,0.09932753800057981
plugin_platform_24,DTMC-GA,1,0,6.388729783837066,5.4503902376415,0.8061868686868692,0.01503437999963353
plugin_platform_24,DTMC-GA,1,1,6.5106486010913684,5.983388972844095,0.6477272727272724,0.02779472399924998
plugin_platform_24,DTMC-GA,1,2,6.5106486010913684,6.366348841626684,0.4482323232323232,0.04064050499982841
plugin_platform_24,DTMC-GA,1,3,6.587835338519067,6.5106486010913684,0.1546717171717171,0.053512746999331284
plugin_platform_24,DTMC-GA,1,4,6.587835338519067,6.532511608096752,0.10669191919191919,0.06721243199899618
plugin_platform_24,DTMC-GA,1,5,6.595026682561715,6.5829938131736245,0.11679292929292928,0.08023549999961688
plugin_platform_24,DTMC-GA,1,6,6.595026682561715,6.58672982983436,0.08964646464646468,0.09271687499858672
plugin_platform_24,DTMC-GA,1,7,6.595026682561715,6.595026682561715,0.05176767676767678,0.10615790099836886
plugin_platform_24,DTMC-GA,2,0,6.245578730622356,5.376643677939905,0.798611111111111,0.01873866700043436
plugin_platform_24,DTMC-GA,2,1,6.245578730622356,5.865287213226745,0.547979797979798,0.032989850000376464
plugin_platform_24,DTMC-GA,2,2,6.388396249468587,6.222519187008827,0.3857323232323232,0.04585255800157029
plugin_platform_24,DTMC-GA,2,3,6.388396249468587,6.245578730622356,0.3308080808080808,0.05754424500082678
plugin_platform_24,DTMC-GA,2,4,6.501823390765414,6.323981898687756,0.1571969696969697,0.06952180300140753
plugin_platform_24,DTMC-GA,2,5,6.501823390765414,6.3566301672433845,0.11805555555555557,0.08131407200016838
plugin_platform_24,DTMC-GA,2,6,6.501823390765414,6.422767586592257,0.07007575757575757,0.09345161900091625
plugin_platform_24,DTMC-GA,2,7,6.518581723995469,6.501823390765414,0.04482323232323235,0.108867213000849
plugin_platform_24,DTMC-GA,3,0,6.144567527447196,5.425661729013024,0.8030303030303031,0.015101411001523957
plugin_platform_24,DTMC-GA,3,1,6.152980044109432,6.0415625661911285,0.5845959595959598,0.0279087150011037
plugin_platform_24,DTMC-GA,3,2,6.152980044109432,6.144567527447196,0.22095959595959602,0.04027567800039833
