system,algorithm,metric,count,mean,median,sd,ci95,min,max
cyclic_workflow_20,RandomValidPartition,speedup,30,2.2480434945712724,2.235452711307745,0.27777376032143414,0.10372242673439709,1.7463808180987814,2.9478703480539905
cyclic_workflow_20,RandomValidPartition,communication_overhead,30,0.2134439033561882,0.2175164507221704,0.025251205954686034,0.009428955264022439,0.1545530062738217,0.2499512288372816
cyclic_workflow_20,RandomValidPartition,load_balance,30,0.4714946711390981,0.4596629966529656,0.14836529347520494,0.055400511065557996,0.0806860071641045,0.7166364325650558
cyclic_workflow_20,RandomValidPartition,mq,30,19.641588000000002,20.56988,3.3508431129085845,1.25122538167368,12.78228,23.8222
cyclic_workflow_20,RandomValidPartition,algorithm_runtime_s,30,0.00111109616670238,0.00105631249971335,0.00012310295355989537,4.596739831231231e-05,0.0010063219997391,0.0015226779996737
cyclic_workflow_20,TraditionalMQ,speedup,30,2.1021991770084663,2.1021991770084663,0.0,0.0,2.1021991770084663,2.1021991770084663
cyclic_workflow_20,TraditionalMQ,communication_overhead,30,0.19915483436108014,0.1991548343610802,5.646012854083702e-17,2.1082558479299687e-17,0.1991548343610802,0.1991548343610802
cyclic_workflow_20,TraditionalMQ,load_balance,30,0.389118824536353,0.3891188245363528,1.6938038562251105e-16,6.324767543789906e-17,0.3891188245363528,0.3891188245363528
cyclic_workflow_20,TraditionalMQ,mq,30,17.632600000000007,17.6326,7.226896453227138e-15,2.69856748535036e-15,17.6326,17.6326
cyclic_workflow_20,TraditionalMQ,algorithm_runtime_s,30,0.0015924714001811931,0.00152800599971665,0.00018188708361931407,6.791775322048554e-05,0.001407765001204,0.0021184779998293
demo_eight_class,Bunch,speedup,30,1.4685165488945233,1.2318233851026918,0.3167560893911148,0.11827866763413954,1.1881065691597004,2.2638670947582327
demo_eight_class,Bunch,communication_overhead,30,0.0049842948665239735,0.00415357905543665,0.005903620476945585,0.002204448115182262,0.0,0.0249214743326199
demo_eight_class,Bunch,load_balance,30,0.8191684615825963,0.980272982289646,0.2172097180708834,0.08110744169116461,0.1409012881526244,1.0
demo_eight_class,Bunch,mq,30,0.24923333333333328,0.151,0.42174487167197333,0.15748212322857216,0.0,2.164
demo_eight_class,Bunch,algorithm_runtime_s,30,0.08235512020013021,0.08095084200067501,0.0054161718561182735,0.002022431808811072,0.0798874760002945,0.1102917749994958
demo_eight_class,DTMC-GA,speedup,30,2.6956458623232527,2.7149318092291232,0.09302049425268005,0.034734423398222296,2.266678893165324,2.8235199378201243
demo_eight_class,DTMC-GA,communication_overhead,30,0.08657361835155218,0.0889354574222907,0.01663515942383724,0.006211670614810163,0.0522862304625555,0.1544154095903509
demo_eight_class,DTMC-GA,load_balance,30,0.9808808501466172,0.9842155946017612,0.013555808695588017,0.005061822155651379,0.9402025502537692,0.9901702185067852
demo_eight_class,DTMC-GA,mq,30,14.938466666666669,15.324000000000002,0.886027544264513,0.33084812236507816,12.782,16.193
demo_eight_class,DTMC-GA,algorithm_runtime_s,30,0.0842289840333857,0.08194663499943995,0.007421551975118954,0.0027712530517786144,0.0795028459997411,0.1129842270001972
demo_eight_class,FCA,speedup,30,1.718272481468676,1.7182724814686765,4.516810283266961e-16,1.686604678343975e-16,1.7182724814686765,1.7182724814686765
demo_eight_class,FCA,communication_overhead,30,0.10457246092511102,0.104572460925111,2.823006427041851e-17,1.0541279239649844e-17,0.104572460925111,0.104572460925111
demo_eight_class,FCA,load_balance,30,0.7983243316167267,0.7983243316167269,2.2584051416334807e-16,8.433023391719875e-17,0.7983243316167269,0.7983243316167269
demo_eight_class,FCA,mq,30,3.619,3.619,0.0,0.0,3.619,3.619
